placeName,placeId,review,price,description,address,sw4,sw11,sw12,telephone,website,type,tag1,tag2,tag3,subcategory,photo
1910,ChIJBUmEuv8FdkgRdW1lPgOkR0g,4.6,££,"An intimate cantina bringing great mezcal and tequila and incredible, authentic Mexican flavours to the heart of Balham.","3 Ramsden Rd, Balham, London SW12 8QX",0,0,1,2086756286,1910cantina.com,Restaurants,Street Food Vibes,Fantastic Flavours,Culturally Authentic Dishes,Mexican,1910.jpg
@ Bar,ChIJsc02i00EdkgR7Fs9lfcfnXU,3.6,££,"With an extensive cocktail, wine and champagne list, a delicious tapas menu and a top DJ line up, @Bar & Bites is bringing the glamour to the heart of Clapham.","165 Clapham High St, Clapham Town, London SW4 7SS",1,0,0,2076224004,atbarclapham.com,Bars,Great Music,Entertaining,Party Vibes,Cocktail Bar,@-Bar.jpg
33 Abbeville Road,ChIJqYefMbUFdkgR_VyNvUd2RG0,4.5,££,Modern European / British restaurant with great brunch and Sunday lunch menus.,"33-35 Abbeville Rd, Clapham Town, London SW4 9LA",1,0,0,2086730977,33abbevilleroad.co.uk,Restaurants,Luxurious,Fantastic Flavours,Exciting Menu,Modern European,33-Abbeville-Road.jpg
64th & Social,ChIJLS6ewFEEdkgRtjUDFZG1lXo,4.1,££,Friendly cocktail bar on Clapham High Street providing cocktails and djs late into the night.,"64 Clapham High St, Clapham Town, London SW4 7UL",1,0,0,2076272535,www.sixtyfourcocktailbar.com,Bars,Entertaining,Party Vibes,Great Music,Cocktail Bar,64th-Social.jpg
7oZ Coffee,ChIJRzf_fVAEdkgR4UhKoCYSKKU,4.4,£,"A Cafe with a relaxed atmosphere, run by a small team of coffee enthusiasts maintaining proper coffee techniques and promising a fresh cup of coffee every time.","7 Bedford Rd, London SW4 7SH",1,0,0,,,Cafe,Fantastic Flavours,Intimate,Fantastic Service,Cafe,7oZ-Coffee.jpg
Al Gusto,ChIJxdP0apYFdkgRBc-V7FlhhoA,4.1,££,Neighbourhood Italian providing fresh and hearty dishes made with locally sourced ingredients.,"85 Northcote Rd, London SW11 6PJ",0,1,0,2072288782,al-gusto.co.uk,Restaurants,Good Value for Money,Buzzing Atmosphere,Fantastic Flavours,"Italian, Pizza",Al-Gusto.jpg
All Bar One Clapham Junction,ChIJ0YNYUZYFdkgRngmOSyA654Q,4,££,"Modern chain bar serving beer, cocktails, wine and sharing plates to an after-work crowd.","32-38 Northcote Rd, Battersea, London SW11 1NZ",0,1,0,2072239763,allbarone.co.uk,Bars,Fantastic Wine List,Party Vibes,Delicious Cocktails,Cocktail Bar,All-Bar-One-Clapham-Junction.jpg
Amar Lebanese Kitchen (Battersea),ChIJGbhEj4IFdkgRjo8xSKtQdRE,4.6,,Cosy Lebanese restaurant offering traditional hot and cold mezze in Battersea.,"83 Battersea Rise, London SW11 1HW",0,1,0,2072233062,amarlebanesekitchen.co.uk,Restaurants,Culturally Authentic Dishes,Fantastic Flavours,Relaxing,Middle Eastern,Amar-Lebanese-Kitchen-(Battersea).jpg
Amiga,ChIJA3cPwJcFdkgR4NomPGfnEy0,4.4,,Authentic Mexican flavours inspired by the relaxed yet fun atmosphere of Tulum and Mexico's bold and diverse cuisine.,"56 Battersea Rise, London SW11 1EG",0,1,0,2072284847,amigalondon.com,Restaurants,Great for Date Night,Buzzing Atmosphere,Street Food Vibes,Mexican,Amiga.jpg
Archer Street,ChIJaZNr7qsFdkgRWz7Zif7N3SE,3.7,,"Experiential bar perfect for a fun night of expertly crafted cocktails, talented performers and dancing on tables.","Lansdowne House, 3-7 Northcote Rd, London SW11 1NG",0,1,0,2038874435,archerstreet.co.uk,Bars,Great Music,Party Vibes,Delicious Cocktails,Cocktail Bar,Archer-Street.jpg
Aquum,ChIJX91s61EEdkgRFolyo40-lpo,3.5,££,"Cocktail bar with street food menu, white leather seats, mood lighting, flair bartenders and DJs.","68-70 Clapham High St, Clapham Town, London SW4 7UL",1,0,0,2076272726,aquum.co.uk,Restaurants,Party Vibes,Great Music,Great for Bottomless Brunch,"Cocktail Bar, Nightclub",Aquum.jpg
